,name,address,city,state,zipcode,phone,website,
2,Tao Tao Restaurant,175 S Murphy Ave,Sunnyvale ,CA,94086,(408) 736-3731,http://taotaocafe.com,
3,Dinner at Buca di Beppo,,,,,,,
4,Sneha South & North Indian Restaurant,1214 Apollo Way # 404-B,Sunnyvale ,CA,94085,(408) 481-0700,http://grandindianbuffet.com,
5,The Armenian Gourmet,929 E Duane Ave,Sunnyvale ,CA,94085,(408) 732-3910,http://thearmeniangourmet.com,
6,Round Table Pizza,415 N Mary Ave,Sunnyvale ,CA,94085,(408) 733-1365,http://www.roundtablepizza.com/order?id=718,
7,Round Table Pizza,1220 Oakmead Pkwy,Sunnyvale ,CA,94085,(408) 970-9000,http://www.roundtablepizza.com/order?id=608,
8,Tasty Indian Pizza,528 Lawrence Expy,Sunnyvale ,CA,94085,(408) 738-8761,http://tastysubspizzasunnyvale.com,
9,Seto Japanese Cuisine,511 Borregas Ave,Sunnyvale ,CA,94085,(408) 735-8280,http://www.setorestaurant.com,
10,TGI Sushi Sunnyvale,903 E Duane Ave,Sunnyvale ,CA,94085,(408) 737-7183,http://www.sushiblvd.com,
11,Shanghai Restaurant,253 E Maude Ave,Sunnyvale ,CA,94085,(408) 245-1342,http://www.shanghairestaurantonline.com,
12,Pho Lovers,253 E Maude Ave,Sunnyvale ,CA,94085,(408) 530-8583,,
13,Old Country Buffet,456 W Maude Ave,Sunnyvale ,CA,94085,(408) 720-9394,http://www.oldcountrybuffet.com,
14,Tryua Sushi SV,415 N Mary Ave,Sunnyvale ,CA,94085,(408) 738-0408,,
15,Yume-Ya,355 N Wolfe Rd Ste 727,Sunnyvale ,CA,94085,(408) 530-8156,,
16,Bombay Feast,769 N Mathilda Ave,Sunnyvale ,CA,94085,(408) 245-2276,,
17,Clarita's Filipino Cuisine,905 E Duane Ave,Sunnyvale ,CA,94085,(408) 735-1721,http://claritasfilipinocuisine.com,
18,Madhuban Indian Cuisine,1180 Miraloma Way Ste M,Sunnyvale ,CA,94085,(408) 245-1000,http://madhubanindiancuisine.net,
19,Panera Bread,1195 E Arques Ave,Sunnyvale ,CA,94085,(408) 736-7984,https://www.panerabread.com/en-us/home.html?utm_source=yext&utm_medium=referral&utm_campaign=yext,
20,Thai Thai Restaurant,500 Lawrence Expy Ste B,Sunnyvale ,CA,94085,(408) 733-2626,http://www.padthaisunnyvale.com,
21,Luv Pho,500 Lawrence Expy,Sunnyvale ,CA,94085,(408) 733-8883,,
22,Chaats & Currys,520 Lawrence Expy Ste 310,Sunnyvale ,CA,94085,(408) 746-9192,http://www.chaatsandcurrys.com,
23,Coco's,1206 Oakmead Pkwy,Sunnyvale ,CA,94085,(408) 736-2895,http://www.cocosbakery.com,
24,Kal's Bar-B-Q,425 N Mathilda Ave,Sunnyvale ,CA,94085,(408) 739-5271,http://www.kalsbbq.com,
25,Tia Juana Mexican Grill,901 E Duane Ave,Sunnyvale ,CA,94085,(408) 730-8578,http://www.tiajuanamexicangrill.com,
26,Sri Ananda Bhavan,920 E Arques Ave,Sunnyvale ,CA,94085,(408) 735-1111,http://www.anandabhavanusa.com,
27,Swathi Tiffins,1202 Apollo Way,Sunnyvale ,CA,94085,(408) 617-0482,http://www.swathitiffins.com,
28,El Calbonero Restaurant,911 E Duane Ave,Sunnyvale ,CA,94085,(408) 720-1077,,
29,Hobee's,800 W Ahwanee Ave,Sunnyvale ,CA,94085,(408) 524-3580,http://www.hobees.com,
30,Merit Vegetarian Restaurant,548 Lawrence Expy,Sunnyvale ,CA,94085,(408) 245-8988,http://www.meritvegetarian.com,
31,Madhuban Indian Cuisine,544 Lawrence Expy,Sunnyvale ,CA,94085,(408) 735-7448,http://www.madhubanindiancuisine.net,
32,Denny's,814 W Ahwanee Ave,Sunnyvale ,CA,94085,(408) 747-1449,http://locations.dennys.com/CA/SUNNYVALE/247218?utm_source=yext&utm_medium=local-listing&utm_campaign=yext-listing,
33,Sushi Boulevard,903 E Duane Ave,Sunnyvale ,CA,94085,(408) 737-7183,http://www.sushiblvd.com,
36,Ray's Crab Shack,5989 Mowry Ave,Newark ,CA,94560,(510) 648-3069,http://www.rayscrabshack.com/,
37,Fiorillo's Restaurant Inc.,638 El Camino Real,Santa Clara ,CA,95050,(408) 766-7527,http://fiorillosrestaurantinc.liveonatt.com,
38,Fishermen's Grotto,9 Fishermans Wharf,San Francisco ,CA,94133,(415) 673-7025,http://www.fishermensgrotto.com,
39,Sushi O Sushi Japanese Cuisine,2789 El Camino Real,Santa Clara ,CA,95051,(408) 241-1677,http://www.sushiosushi.com,
40,Giorgio's Italian Food & Pizzeria,643 E Calaveras Blvd,Milpitas ,CA,95035,(408) 212-7094,http://www.giorgiosandfjlitalian.com,
41,Giorgio's Italian Food & Pizzeria,1445 Foxworthy Ave,San Jose ,CA,95118,(408) 474-0566,http://www.giorgiosandfjlitalian.com,
42,House Of Genji,1335 N 1st St,San Jose ,CA,95112,(408) 883-1427,http://www.houseofgenji.net,
43,AACHI AAPPAKADAI,1105 W El Camino Real,Sunnyvale ,CA,94087,(408) 329-4145,http://www.aachiaappakadai.com,
44,Iron Works Barbeque,,,,,(512) 478-4856,http://www.ironworksbbq.com/,
45,Frankie Johnnie & Luigi Too!,939 W El Camino Real,Mountain View ,CA,94040,(650) 567-5114,http://www.fjlmountainview.com,
46,Round Table Pizza,,,,,,http://www.roundtablepizza.com,
47,Olive Garden Italian Restaurant,,,,,,http://www.olivegarden.com,
48,Bay Cafe Restaurant & Banquets,1875 Embarcadero Rd,Palo Alto ,CA,94303,(650) 600-3454,http://www.baycaferestaurant.com,
49,Cha Cha Cha,1801 Haight St,San Francisco ,CA,94117,(415) 386-7670,http://www.cha3.com,
50,Maldonado's Pizzeria,615 S Rengstorff Ave,Mountain View ,CA,94040,(650) 567-4227,http://www.maldonadospizza.com,
51,Jing-Jing Szechwan Hunan Gourmet,443 Emerson St,Palo Alto ,CA,94301,(650) 328-6885,http://www.jingjinggourmet.com,
52,Kazoo Restaurant,250 Jackson St,San Jose ,CA,95112,(408) 288-9611,http://www.kazoorestaurant.com,
