1,The Little Cakes,"Sunnyvale, CA 94085",Phone number,,,
2,Sunnyvale Cafe,223 E Maude Ave,Sunnyvale,CA,94085,(408) 530-8191
3,Obed Mediterranean Cuisine,911 E Duane Ave,Sunnyvale,CA,94085,(408) 685-2269
4,DishDash,190 S Murphy Ave,Sunnyvale,CA,94086,(408) 774-1889
5,Toofu,S Murphy Ave,Sunnyvale,CA,94085,
6,Philz Coffee,125 S Frances St,Sunnyvale,CA,94086,(408) 636-2907
7,Dish N Dash,736 N Mathilda Ave,Sunnyvale,CA,94085,(408) 530-9200
8,Gombei Bento,155 E Maude Ave,Sunnyvale,CA,94085,(408) 735-7777
10,Chavez Supermarket & Taqueria,666 N Fairoaks Ave,Sunnyvale,CA,94085,(408) 736-3793
11,Agape Grill,845 Stewart Dr,Sunnyvale,CA,94085,(408) 739-3354
13,Pho Lovers,253 E Maude Ave,Sunnyvale,CA,94085,(408) 530-8583
14,Kabul,351 W Washington Ave,Sunnyvale,CA,94086,(408) 245-4350
15,Seven Seas Park,1010 Morse Ave,Sunnyvale,CA,94089,
16,Sunnyvale Art Gallery and Cafe,251 W El Camino Real,Sunnyvale,CA,94087,(408) 737-8188
17,Pro Skate Lessons,540 N Fair Oaks Ave,Sunnyvale,CA,94085,
18,Vino Vino,199 S Murphy Ave,Sunnyvale,CA,94086,(408) 675-8466
19,La Marea Of The Sea,121 W Evelyn Ave,Sunnyvale,CA,94086,
20,The Sandwich Spot,121 S Francis St,Sunnyvale,CA,94086,(408) 962-0463
21,Cam Hung,903 Reed Ave,Sunnyvale,CA,94086,(408) 735-8989
22,City Place Wine Bar,279 W Washington Ave,Sunnyvale,CA,94086,(408) 462-9176
23,Tres Potrillos,670 N Fair Oaks Ave,Sunnyvale,CA,94085,(408) 735-8657
24,Taqueria Latina,195 E Maude Ave,Sunnyvale,CA,94085,(408) 735-7151
25,Tia Juana Restaurant,901 E Duane Ave,Sunnyvale,CA,94085,(408) 730-8578
26,Bagel Street Cafe,348 W Maude Ave,Sunnyvale,CA,94087,(408) 738-1856
27,Coffee & More,100 S Murphy Ave,Sunnyvale,CA,94086,(408) 245-1900
28,The Flying Falafel,"Sunnyvale, CA 94086",Phone number,,94086,
29,Little India Cafe,415 N Mary Ave,Sunnyvale,CA,94085,(408) 823-5502
30,Mahalo Bowl,"Sunnyvale, CA 94087",Phone number,,94085,
32,Mission City Cafe,510 Lawrence Expy,Sunnyvale,CA,94085,(408) 737-2373
33,Sunnyvale Skate Park,540 N Fair Oaks Ave,Sunnyvale,CA,94085,(408) 730-7751
34,Taqueria Patzcuaro,603 Old San Francisco Rd,Sunnyvale,CA,94086,
36,Ananda Bhavan,920E Arques Ave,Sunnyvale,CA,94085,(408) 735-1111
37,Delhi Chaat,603 Old San Francisco Rd,Sunnyvale,CA,94086,(408) 561-6778
38,Merit Vegetarian,548 Lawrence Expy,Sunnyvale,CA,94086,(408) 245-8988
39,The Habit Burger Grill,146 W El Camino Real,Sunnyvale,CA,94087,(408) 774-9015
40,Eversnap Photography,Serving Sunnyvale and the Surrounding Area,Phone number,,94087,
41,Ramen Seas,173 S Murphy Ave,Sunnyvale,CA,94086,(408) 481-0900
